"hdilevel","countryname","_c2"
"Low Human Development","Burundi","0.3043750021606684"
"Low Human Development","Cameroon","0.45250000059604645"
"Low Human Development","Central African Republic","0.31987500190734863"
"Low Human Development","Chad","0.3229999989271164"
"Low Human Development","Comoros","0.4266000032424927"
"Low Human Development","Congo","0.5091249905526638"
"Low Human Development","Congo (Democratic Republic of the)","0.2816249951720238"
"Low Human Development","C�te d'Ivoire","0.40024999901652336"
"Low Human Development","Djibouti","0.4283999979496002"
"Low Human Development","Eritrea","0.3463333348433177"
"Low Human Development","Ethiopia","0.35266666611035663"
"Low Human Development","Gambia","0.37950000539422035"
"Low Human Development","Guinea","0.34580000042915343"
"Low Human Development","Guinea-Bissau","0.3583999931812286"
"Low Human Development","Haiti","0.4217142845903124"
"Low Human Development","Kenya","0.4802499935030937"
"Low Human Development","Lesotho","0.4437499977648258"
"Low Human Development","Liberia","0.33900000367845806"
"Low Human Development","Madagascar","0.47050000230471295"
"Low Human Development","Malawi","0.3636250011622906"
"Low Human Development","Mali","0.2906250059604645"
"Low Human Development","Mauritania","0.4256250001490116"
"Low Human Development","Mozambique","0.27762499637901783"
"Low Human Development","Myanmar","0.41862499713897705"
"Low Human Development","Nepal","0.40324999764561653"
"Low Human Development","Niger","0.25712499767541885"
"Low Human Development","Nigeria","0.45640000104904177"
"Low Human Development","Pakistan","0.45775000378489494"
"Low Human Development","Papua New Guinea","0.4174285701342991"
"Low Human Development","Rwanda","0.3611250016838312"
"Low Human Development","Sao Tome and Principe","0.511599999666214"
"Low Human Development","Senegal","0.42512499913573265"
"Low Human Development","Sierra Leone","0.30562499538064003"
"Low Human Development","Solomon Islands","0.5160000026226044"
"Low Human Development","Sudan","0.3711249977350235"
"Low Human Development","Tanzania (United Republic of)","0.41957142523356844"
"Low Human Development","Togo","0.4261249974370003"
"Low Human Development","Uganda","0.41085713676043917"
"Low Human Development","Yemen","0.4167142851012094"
"Low Human Development","Zambia","0.41474999859929085"
"Low Human Development","Zimbabwe","0.37937499955296516"
"Medium Human Development","Belize","0.6798749938607216"
"Medium Human Development","Bhutan","0.5316666563351949"
"Medium Human Development","Bolivia (Plurinational State of)","0.6223750002682209"
"Medium Human Development","Botswana","0.5932500064373016"
"Medium Human Development","Cambodia","0.5129999915758768"
"Medium Human Development","Cape Verde","0.5707499980926514"
"Medium Human Development","China","0.6092500016093254"
"Medium Human Development","Dominican Republic","0.6501250043511391"
"Medium Human Development","Egypt","0.5938749983906746"
"Medium Human Development","El Salvador","0.6227499954402447"
"Medium Human Development","Equatorial Guinea","0.5343333333730698"
"Medium Human Development","Fiji","0.6681250110268593"
"Medium Human Development","Gabon","0.6395000070333481"
"Medium Human Development","Ghana","0.4908749982714653"
"Medium Human Development","Guatemala","0.534999992698431"
"Medium Human Development","Guyana","0.5895000025629997"
"Medium Human Development","Honduras","0.5757500045001507"
"Medium Human Development","India","0.48775000125169754"
"Medium Human Development","Indonesia","0.560500007122755"
"Medium Human Development","Iraq","0.5763999938964843"
"Medium Human Development","Jordan","0.6579999998211861"
"Medium Human Development","Kiribati","0.62800000111262"
"Medium Human Development","Kyrgyzstan","0.6088571463312421"
"Medium Human Development","Lao People's Democratic Republic","0.4929999922003065"
"Medium Human Development","Maldives","0.6586666703224182"
"Medium Human Development","Micronesia (Federated States of)","0.6413333217302958"
"Medium Human Development","Moldova (Republic of)","0.6415714280945914"
"Medium Human Development","Mongolia","0.6261428594589233"
"Medium Human Development","Morocco","0.5272500067949295"
"Medium Human Development","Namibia","0.5888571398598808"
"Medium Human Development","Nicaragua","0.5516249984502792"
"Medium Human Development","Occupied Palestinian Territory","0.6660000085830688"
"Medium Human Development","Paraguay","0.6302499994635582"
"Medium Human Development","Philippines","0.6214999929070473"
"Medium Human Development","Samoa","0.6914999981721243"
"Medium Human Development","South Africa","0.6126249954104424"
"Medium Human Development","Suriname","0.6764000058174133"
"Medium Human Development","Swaziland","0.5232857125146049"
"Medium Human Development","Syrian Arab Republic","0.6043750047683716"
"Medium Human Development","Tajikistan","0.5949999945504325"
"Medium Human Development","Thailand","0.6354999989271164"
"Medium Human Development","Timor-Leste","0.5183333257834116"
"Medium Human Development","Tonga","0.6974285670689174"
"Medium Human Development","Turkmenistan","0.6930000185966492"
"Medium Human Development","Uzbekistan","0.6387999892234802"
"Medium Human Development","Vanuatu","0.624666670958201"
"Medium Human Development","Viet Nam","0.5682857121740069"
"Very High Human Development","Andorra","0.8463333447774252"
"Very High Human Development","Argentina","0.7643750011920929"
"Very High Human Development","Australia","0.9147499948740005"
"Very High Human Development","Austria","0.8523749932646751"
"Very High Human Development","Barbados","0.7917499989271164"
"Very High Human Development","Belgium","0.8662500008940697"
"Very High Human Development","Brunei Darussalam","0.8301249891519547"
"Very High Human Development","Canada","0.8902500048279762"
"Very High Human Development","Chile","0.7671250030398369"
"Very High Human Development","Croatia","0.781285720212119"
"Very High Human Development","Cyprus","0.8114999905228615"
"Very High Human Development","Czech Republic","0.8618333339691162"
"Very High Human Development","Denmark","0.8708750084042549"
"Very High Human Development","Estonia","0.8162857123783657"
"Very High Human Development","Finland","0.8572500050067902"
"Very High Human Development","France","0.8504999876022339"
"Very High Human Development","Germany","0.8717500045895576"
"Very High Human Development","Greece","0.8278750032186508"
"Very High Human Development","Hong Kong","0.8448749929666519"
"Very High Human Development","Hungary","0.7936249896883965"
"Very High Human Development","Iceland","0.8720000013709068"
"Very High Human Development","Ireland","0.8736250028014183"
"Very High Human Development","Israel","0.864875003695488"
"Very High Human Development","Italy","0.8396250009536743"
"Very High Human Development","Japan","0.8791250064969063"
"Very High Human Development","Korea (Republic of)","0.8392499908804893"
"Very High Human Development","Latvia","0.7675000056624413"
"Very High Human Development","Liechtenstein","0.8826666871706644"
"Very High Human Development","Lithuania","0.7917142851012093"
"Very High Human Development","Luxembourg","0.8463750034570694"
"Very High Human Development","Malta","0.8080000057816505"
"Very High Human Development","Netherlands","0.8878750056028366"
"Very High Human Development","New Zealand","0.887874998152256"
"Very High Human Development","Norway","0.917250007390976"
"Very High Human Development","Poland","0.8064999878406525"
"Very High Human Development","Portugal","0.77412498742342"
"Very High Human Development","Qatar","0.8033749982714653"
"Very High Human Development","Seychelles","0.7926666736602783"
"Very High Human Development","Singapore","0.8524999916553497"
"Very High Human Development","Slovakia","0.8138571466718402"
"Very High Human Development","Slovenia","0.8803333441416422"
"Very High Human Development","Spain","0.8367500007152557"
"Very High Human Development","Sweden","0.8844999969005585"
"Very High Human Development","Switzerland","0.8845000043511391"
"Very High Human Development","United Arab Emirates","0.8217999935150146"
"Very High Human Development","United Kingdom","0.8411250039935112"
"Very High Human Development","United States","0.9108750000596046"
