"hdilevel","countryname","_c2"
"High Human Development","Albania","0.7240000026566642"
"High Human Development","Algeria","0.6441249959170818"
"High Human Development","Antigua and Barbuda","0.7599999904632568"
"High Human Development","Armenia","0.6958571416991097"
"High Human Development","Azerbaijan","0.7333333492279053"
"High Human Development","Bahamas","0.7923333446184794"
"High Human Development","Bahrain","0.7658750042319298"
"High Human Development","Belarus","0.7705999970436096"
"High Human Development","Bosnia and Herzegovina","0.7309999942779541"
"High Human Development","Brazil","0.6717500016093254"
"High Human Development","Bulgaria","0.7449999898672104"
"High Human Development","Colombia","0.6678749993443489"
"High Human Development","Costa Rica","0.7219999954104424"
"High Human Development","Cuba","0.7292499914765358"
"High Human Development","Dominica","0.7375000019868215"
"High Human Development","Ecuador","0.6781249940395355"
"High Human Development","Georgia","0.7330000042915344"
"High Human Development","Grenada","0.7693333228429159"
"High Human Development","Iran (Islamic Republic of)","0.6564999930560589"
"High Human Development","Jamaica","0.6893749982118607"
"High Human Development","Kazakhstan","0.7276666760444641"
"High Human Development","Kuwait","0.7653750032186508"
"High Human Development","Lebanon","0.7347999930381774"
"High Human Development","Libya","0.7546000003814697"
"High Human Development","Malaysia","0.7128750011324883"
"High Human Development","Mauritius","0.6856250017881393"
"High Human Development","Mexico","0.7244999930262566"
"High Human Development","Montenegro","0.7799999952316284"
"High Human Development","Oman","0.7293333212534586"
"High Human Development","Palau","0.7831666668256124"
"High Human Development","Panama","0.7317499965429306"
"High Human Development","Peru","0.6881249994039536"
"High Human Development","Romania","0.7565714206014361"
"High Human Development","Russian Federation","0.7599999989782061"
"High Human Development","Saint Kitts and Nevis","0.7450000047683716"
"High Human Development","Saint Lucia","0.7239999969800314"
"High Human Development","Saint Vincent and the Grenadines","0.7319999933242798"
"High Human Development","Saudi Arabia","0.7234999984502792"
"High Human Development","Serbia","0.7569999992847443"
"High Human Development","Sri Lanka","0.6656249985098839"
"High Human Development","The former Yugoslav Republic of Macedonia","0.7287999987602234"
"High Human Development","Trinidad and Tobago","0.7302500009536743"
"High Human Development","Tunisia","0.6448749974370003"
"High Human Development","Turkey","0.6538750045001507"
"High Human Development","Ukraine","0.7209999901907784"
"High Human Development","Uruguay","0.7473750039935112"
"High Human Development","Venezuela (Bolivarian Republic of)","0.6962500065565109"
"Low Human Development","Afghanistan","0.30900000035762787"
"Low Human Development","Angola","0.4611666649580002"
"Low Human Development","Bangladesh","0.44999999925494194"
"Low Human Development","Benin","0.3853749968111515"
"Low Human Development","Burkina Faso","0.32639999985694884"
