"long","lat","group","order","region","subregion"
-90.4127349853516,46.5585517883301,1,1,"michigan","north"
-90.3783645629883,46.5642776489258,1,2,"michigan","north"
-90.3153381347656,46.5929260253906,1,3,"michigan","north"
-90.2809600830078,46.6158447265625,1,4,"michigan","north"
-90.2007522583008,46.6330337524414,1,5,"michigan","north"
-90.1377182006836,46.6444969177246,1,6,"michigan","north"
-90.0746994018555,46.6559524536133,1,7,"michigan","north"
-90.0231323242188,46.6788711547852,1,8,"michigan","north"
-89.9543762207031,46.713249206543,1,9,"michigan","north"
-89.9028091430664,46.7418975830078,1,10,"michigan","north"
-89.8741607666016,46.7648162841797,1,11,"michigan","north"
-89.8397827148438,46.7934608459473,1,12,"michigan","north"
-89.788215637207,46.8221130371094,1,13,"michigan","north"
-89.7366485595703,46.8278427124023,1,14,"michigan","north"
-89.6736221313477,46.833568572998,1,15,"michigan","north"
-89.6106033325195,46.8278427124023,1,16,"michigan","north"
-89.5704956054688,46.8278427124023,1,17,"michigan","north"
-89.518928527832,46.8507614135742,1,18,"michigan","north"
-89.4730911254883,46.8507614135742,1,19,"michigan","north"
-89.4272537231445,46.8450317382812,1,20,"michigan","north"
-89.3871459960938,46.8507614135742,1,21,"michigan","north"
-89.3298492431641,46.8622169494629,1,22,"michigan","north"
-89.2439041137695,46.8965950012207,1,23,"michigan","north"
-89.2038040161133,46.9195137023926,1,24,"michigan","north"
-89.1751480102539,46.9596214294434,1,25,"michigan","north"
-89.152229309082,46.976806640625,1,26,"michigan","north"
-89.1235885620117,46.9825401306152,1,27,"michigan","north"
-89.0834808349609,46.9825401306152,1,28,"michigan","north"
-89.0319137573242,46.9997253417969,1,29,"michigan","north"
-88.9860763549805,46.9997253417969,1,30,"michigan","north"
-88.9345092773438,47.0111885070801,1,31,"michigan","north"
-88.9287796020508,47.0169143676758,1,32,"michigan","north"
-88.9115905761719,47.0455627441406,1,33,"michigan","north"
-88.9001312255859,47.0856704711914,1,34,"michigan","north"
-88.8600234985352,47.0971336364746,1,35,"michigan","north"
-88.8256454467773,47.1085891723633,1,36,"michigan","north"
-88.802734375,47.1429672241211,1,37,"michigan","north"
